fy,edition,document,name,printed_heading,pages,what_it_is,grain,columns,layout,printed_total,approx_rows,extractable,notes,cluster
2018,FY2018,4125-fy-2018-annual-town-report.pdf,"Capital project funds -- authorised, spent and balance by project",CAPITAL PROJECT FUNDS FY 2018,40,"Every open capital article: the article and year that authorised it, its purpose, amount appropriated or carried forward, amount expended/encumbered/transferred, and remaining balance. Runs from a 2002 cemetery article through the FY18 capital programme.",one capital project / article,ART #/YR | PURPOSE | APPROPRIATED FORWARD | EXPENDED/ENCUMBERED/TRANSFERRED | BALANCE,One clean landscape page with article-year sub-headings (e.g. '14 5/13 ATM FY14 Capital Program') introducing the projects funded by that article,"Grand Total $9,328,231.68 $2,309,600.54 $7,018,631.14, with legend 'fwd - forward from FY 17 / ATM - Annual Town Meeting / STM - Special Town Meeting'",40,clean,"THIS IS THE BIG YEAR-TO-YEAR IMPROVEMENT. The FY2017 report's version of this table (p34) came out of the text layer completely transposed and unusable; FY2018's is a clean text layer with one project per line and the article/year attached. If you need FY2017 project balances, the FORWARD column here reproduces them: e.g. Construct Middle School/High School forward $5,271,397.84, Pavement Management Plan forward $3,053,402.72. Note four projects show NEGATIVE expenditure (refunds or reversals): Drainage Culvert Repair ($13,100.00), Police Vehicles ($58.13), Bulletproof Vests ($5,768.49), Replace Artificial Turf Field/Track ($200.00), 4 x 4 Pickup ($21.93). The Playground Project shows $37,000 -- the $12,000 in the FY18 capital plan plus the $25,000 added by citizens' petition at the November 2017 STM.",authorised balance capital funds
2018,FY2018,4125-fy-2018-annual-town-report.pdf,Assessments and revenues by property class,BOARD OF ASSESSORS / Fiscal 2018 Assessments and Revenues by Major Class,41,"The FY2018 tax levy split across the four statutory property classes, with each class's share of the levy, assessed valuation, tax rate and resulting levy.",one property class,Property Class | Levy Percent | Valuations by Class | Tax Rate | Tax Levy,"Five columns, but the extraction puts the first three rows one value per line -- only the Personal Property row survives as a single line","TOTALS 100% 1,312,058,224 19.70 25,847,547.01",4,messy,"Heading differs from FY2017: 'by Major Class' here, 'by Major Property Class' in FY2017; column header is 'Valuations by Class' (plural) vs FY2017's 'Valuation by Class'. TOTALS levy percent prints as '100%' here and '100.0000' in FY2017. Levy figures are given to the cent here (23,402,872.79) and to the dollar in FY2017 (22,386,165). Single rate of 19.70 across all classes.",assessments class property revenues
2018,FY2018,4125-fy-2018-annual-town-report.pdf,"Valuation and tax history, five years",Valuation and Tax History,41,"Five years (FY2014-FY2018) of tax rate, total valuation, number of accounts, total tax levy and year-over-year change in the levy.",one fiscal year,Fiscal Year | Tax Rate | Total Valuation | Accounts | Tax Levy | Changes %,"Clean six-column table, most recent year first",,5,clean,"SHORTER THAN FY2017: this table covers five years where FY2017's covered seven (back to FY2011). The final column is headed 'Changes %' here and 'Change (%)' in FY2017. Two overlapping years are restated with different values: FY2017 levy is 24,769,718.89 here against 24,769,718.90 in the FY2017 report, FY2016 change is 11.9994 here against 11.9993, and FY2014 change is 3.6761 here against 3.6765. Small, but they mean the two reports are not byte-identical on shared years.",five history tax valuation
2018,FY2018,4125-fy-2018-annual-town-report.pdf,Abstract of assessments by property class code,Fiscal Year 2018 Abstract of Assessments,41,"Parcel counts, total valuation and average value for each DOR property-class code band, including exempt property.",one property class code band,Property Class Code/Description | Accounts | Class Valuation | Average Value,"Four-column table, one row per line","TOTALS 5,311 1,392,977,724",13,clean,"Extracts far more cleanly than the FY2017 version (which had two collided columns). Column headers are spelled out ('Accounts', 'Average Value') where FY2017 abbreviated ('Accts', 'Avg. Value'), and the miscellaneous residential row now carries its code range ('103, 109 Miscellaneous Residential 39') where FY2017 gave no codes and no count. Apartments fall from 9 accounts / 12,212,200 to 5 / 4,009,500 -- a large one-year drop worth checking against the class-code definitions rather than assuming apartments were demolished. Exempt 900's rises from 62,363,500 to 80,919,500.",abstract assessments class code
2018,FY2018,4125-fy-2018-annual-town-report.pdf,"Overlay, abatements and exemptions account",Assessor's Account for Exemptions and Abatements,41,"The overlay reserve by levy year: overlay raised, deficits, charges made against it to 6/30/2018, potential liability, and total balance.",one overlay line item,Description | FY2018 | FY2017 | FY2016 | FY2015 | FY2014,Five-column-plus-label table; each row's label and values are on separate extracted lines,"Total Balance 41,207.35 26,977.83 19,742.96 73,500.38 22,030.64",5,messy,"RESTRUCTURED versus FY2017. FY2017's version had a corrupted OCR label set ('harges to 6/30/2017', 'ola Bad to Surplus') and columns FY2017/FY2016/FY2015/Prior Years/Totals; this version is clean, adds a 'Potential Liability' row, replaces the 'released to surplus' row with 'Total Balance', and shows five named fiscal years instead of a 'Prior Years' bucket. The overlapping years DO NOT MATCH the FY2017 report: FY2016 charges are 120,469.33 here vs 118,903.55 there, FY2015 charges 133,830.01 vs 133,262.09, and the FY2015 balance 73,500.38 vs 74,069.30. These are restatements, not extraction errors -- the overlay account is settled over time, so figures move. Do not treat either year's printing as final.",abatements account exemptions overlay
2018,FY2018,4125-fy-2018-annual-town-report.pdf,"New growth revenue, five years",New Growth Revenue,42,"Five years (FY2014-FY2018) of new growth: added valuation, tax rate applied, new revenue produced and percentage change.",one fiscal year,Fiscal Year | Added Valuation | Tax Rate | New Revenues | Change %,Clean five-column table on the page that also carries the Board of Assessors signature block,,5,clean,"SHORTER THAN FY2017: five years vs eight (FY2017 ran back to FY2010). The same off-by-one tax-rate convention appears here as in FY2017 -- the FY2018 row shows tax rate 19.98, which is the FY2017 rate, not FY2018's 19.70. Whether that is the intended lag or an error is not stated anywhere in either report; the FY2017 row here (19.61) matches FY2017's own printing, so the convention is at least consistent across the two years. Placement moved: FY2017 had this table on the same page as the other assessors tables (p35); FY2018 puts it on its own page after the signature block.",five growth new revenue
2018,FY2018,4125-fy-2018-annual-town-report.pdf,Treasurer's cash by bank account,TOWN OF LUNENBURG / Treasurer's Cash as of 6/30/2018,43,"Every bank account the Treasurer holds and its balance at year end, named by bank and purpose.",one bank account,account (bank + purpose) | balance,"Single name/amount list, alphabetical by bank; heading printed at the TOP (FY2017 printed it at the bottom)","Total Treasurer Cash as of 06/30/2018 $14,407,792.64",36,clean,"Reordered and re-banked versus FY2017. Accounts NEW in FY2018: Bank Hometown Investment, Bartholomew-Sewer Capital Reserve Stabilization, Main Street Bank-Vehicle/Equipment Stabilization ($236,302.39), OPEB ($103,407.77), and 'Petty Cash / Certain Departments $4,400.00' -- petty cash appears in the treasurer's cash total for the first time. Accounts GONE: Commerce Bank, Webster Bank, Harbor One Bank School Construction ($1,287,011 in FY2017), Fidelity Bank Sewer/Trash/Water Enterprise (moved to Main Street Bank). The sewer, trash and water enterprise accounts all moved banks between the two years, so a naive year-on-year join on account name will lose them. Two account names wrap mid-word across lines ('Stabili-/zation', 'Stabiliza-/tion').",account bank cash treasurer
2018,FY2018,4125-fy-2018-annual-town-report.pdf,"Trust funds -- principal, earnings, transfers and market value",TOWN OF LUNENBURG / TRUST FUNDS / FISCAL YEAR 2018 SUMMARY,44-46,"Every named trust fund the town holds, grouped as CEMETERY FUNDS, CONSERVATION FUNDS, LIBRARY FUNDS, SCHOLARSHIP FUNDS, MISCELLANEOUS FUNDS, STABILIZATION FUNDS and TRUST & STABILIZATION FUNDS HELD BY OTHER BANKS, with beginning principal and earnings, net earnings, transfers/distributions, ending cash and ending market value.",one named trust fund,ACCOUNT NUMBER | FUND NAME | FY 2018 BEGINNING PRINCIPAL | FY 2018 BEGINNING EARNINGS | FY 2018 NET EARNINGS | FY 2018 TRANSFERS/DISTRIBUTE OF PRINCIPAL | FY 2018 TRANSFERS/DISBURSE OF EARNINGS | FY 2018 ENDING CASH | FY 2018 UNREALIZED GAIN/LOSS | FY 2018 ENDING MARKET VALUE,Three landscape pages marked 'Page 1 of 3' / 'Page 2 of 3' / 'Page 3 of 3'. The extraction is TRANSPOSED: each column has become one long line of space-separated figures and the fund names run on as one line at the bottom.,"GRAND TOTALS on page 3 of 3: ending market $3,247,248.01 (printed with an OCR break as '3238, 32.39' on one subtotal), beginning principal $2,647,796.23",55,not without geometry,"Same transposition failure as FY2017 pp37-39; unusable as extracted and must be re-read with coordinates. OCR turns many leading F's into E's ('EY 2018' for 'FY 2018') and many dollar signs into S ('S70,675.81'). Two funds are NEW this year: PETE LINCOLN SCHOLARSHIP and OPEB ($103,407.77) -- OPEB is now carried as a trust fund, which it was not in FY2017. SEWER CAPITAL RESERVE STAB also appears for the first time. The column set has changed: FY2017 had separate CONTRIBUTE TO PRINCIPAL and TRANSFERS FROM columns; FY2018 has TRANSFERS/DISTRIBUTE OF PRINCIPAL and TRANSFERS/DISBURSE OF EARNINGS. Grand total market value rises from $2,889,241.89 to $3,247,248.01.",earnings funds market principal
2018,FY2018,4125-fy-2018-annual-town-report.pdf,"Outstanding long-term debt, five years","FIVE YEARS OUTSTANDING DEBT / As of June 30, 2018",47,"Principal outstanding by debt purpose for five fiscal years (2018 back to 2014), split into debt inside and outside the general debt limit, plus short-term notes.",one debt purpose,purpose | 2018 | 2017 | 2016 | 2015 | 2014,"Six-column table with two section blocks and a short-term block; dollar signs TRAIL the figure in the total rows ('49,662,322$')","Total Long-Term Indebtedness 49,662,322$ 51,797,860$ 52,186,686$ 49,556,203$ 22,140,230$; Total Outstanding Indebtedness 51,904,592$ 54,693,785$ 53,136,267$ 50,681,203$ 22,449,230$",15,clean,"MUCH cleaner than the FY2017 version (plain text, not OCR) and it silently CORRECTS the FY2017 report. The FY2017 report printed 2017 Bond Anticipation Notes as $295,925 and 2017 Total Outstanding as $52,093,784; this report prints the same year as $2,895,925 and $54,693,785. The FY2017 report's own balance sheet (p20) said BANS PAYABLE $2,895,925.00, so the FY2017 debt table dropped a digit and the FY2018 table is the corrected one. Also restated: 2017 Total Long-Term is 51,797,860 here vs 51,797,859 there, and 2017 Total Outside the General Debt Limit is 36,102,307 vs 36,102,306 -- rounding. Footnote wording identical. New purpose line: DPW Public Way/Pavement rises 1,675,000 to 2,725,000.",debt five long outstanding
2018,FY2018,4125-fy-2018-annual-town-report.pdf,Authorized unissued debt,Authorized Unissued Debt and Prospective Financing,47,"Borrowing authorised by town meeting but not yet issued, by purpose.",one authorisation,Amount | Purpose,"Two-column list at the foot of p47, with 'As of June 30, 2018' printed BELOW the total","38,565,265$",7,clean,"Same seven purposes as FY2017, but four now show '-' where FY2017 showed amounts (Land Acquisition 256,000, Sewer Construction 233,347 and 300,000 have been rescinded or issued) and the Pavement Management Plan authorisation falls from 2,299,321.75 to 1,149,321.75. Total falls from $40,504,612 to $38,565,265.",authorized debt unissued
2018,FY2018,4125-fy-2018-annual-town-report.pdf,"Debt repayment schedule, every issue by fiscal year","TOWN OF LUNENBURG DEBT REPAYMENT SCHEDULE AS OF JUNE 30, 2018",48-51 (with a readable summary block on 49),"Year-by-year principal, interest and MWPAT administrative fee due on each individual bond and Mass Water Pollution Abatement Trust loan, from FY2019 out to FY2047, with grand totals per year.","one issue's principal/interest/admin fee, per fiscal year",FISCAL YEAR | then one column group per issue: PRINCIPAL / INTEREST / ADMIN FEE / TOTAL,"Four landscape pages. Pages 48, 50 and 51 are OCR and TRANSPOSED (each year is one run-on line, row labels stranded at the bottom). PAGE 49 IS DIFFERENT: it is a clean text layer showing the last two issues and, crucially, the grand-total rows across FY2019-FY2035 as readable labelled lines.","GRAND TOTAL PRINCIPAL, GRAND TOTAL INTEREST, GRAND TOTAL PRINCIPAL & INTEREST, GRAND TOTAL MWPAT ADMIN FEES and TOTAL DEBT rows, all readable on p49 for FY2019-FY2035: e.g. FY2019 principal $3,093,773, interest $1,710,175, admin fees $6,342, TOTAL DEBT $4,810,289",29,messy,"PAGE 49 IS THE USABLE PART and it is a real improvement over FY2017, where no part of the debt schedule was readable. It gives a clean 17-year town-wide debt service series (FY2019-FY2035) with principal, interest, MWPAT admin fees and total, plus the full Meadow Woods sewer and water general obligation schedules. Pages 48, 50 and 51 remain unusable OCR with heavy digit damage ('$139.B25', '$4B0,545', '$B1,613', '5480,525', 'S213.665') and corrupted row labels ('MAS WAS POETROLL TRUSTE', 'HO IS GERERALOB BICATION.', 'TOTAL COB MFLOF 2017', 'VEHICLE MENTALIZATION'). NEW versus FY2017: an ADMIN FEE line for every MWPAT loan, and two new issues -- DPW-ROADS GENERAL OBLIGATION and MEADOW WOODS-SEWER / MEADOW WOODS-WATER GENERAL OBLIGATION. p51 carries a TOTAL column that FY2017 did not print: 'TOTAL $1,515,000 $926,554 $2,441,554'.",debt every issue repayment
2018,FY2018,4125-fy-2018-annual-town-report.pdf,"Receivables and collection of taxes, by levy year","TOWN OF LUNENBURG RECEIVABLES SUMMARY JUNE 30, 2018 / FY2018 COLLECTION OF TAXES",52-54,"For every levy year of every receivable type -- real estate, personal property, motor vehicle excise, farm animal excise, supplemental taxes, tax liens, tax title, user charges, foreclosures, rollback taxes, deferred property tax, deferred sewer principal and interest, water and sewer user charges, utility liens, betterments and their apportioned and unapportioned pieces -- the opening balance, commitments, adjustments, refunds, payments, abatements, transfers and closing balance.",one receivable type for one levy year,FISCAL YEAR | FORWARD | COMMITTMENTS | ADJUSTMENTS | REFUNDS | PAYMENTS | ABATEMENTS | TRANSFER | BALANCES,"Three landscape pages, TRANSPOSED the same way as FY2017: each column collapsed into one run-on line, row labels stranded at the bottom","GRAND TOTAL on page 3: COMMITTMENTS $30,748,233.75, PAYMENTS ($29,960,674.04), ADJUSTMENTS ($166,117.93), REFUNDS $54,581.84, ABATEMENTS ($152,442.60), TRANSFER ($775,345.54), FORWARD $9,021,528.35, BALANCES $8,769,763.83",75,not without geometry,"Unusable as extracted; must be re-read with coordinates. The FORWARD column reproduces the FY2017 closing balances exactly, so the two years reconcile line by line if you can recover the geometry. 'COMMITTMENTS' is again misspelled in the source. Motor vehicle excise is still carried back to the levy of 2003 and personal property back to 1998. FY2018 adds a 'SEPTIC EOCD' row that FY2017 did not have, and drops FY2017's garbled 'SEABORED ENTER BETTERME' row. The three pages carry no 'Page N of 3' markers this year (FY2017's did).",collection levy receivables taxes
